,movie_title,imdb_score,cluster_KMeans
170,The World Is Not Enough,6.4,5
171,Master and Commander: The Far Side of the World,7.4,1
172,The Twilight Saga: Breaking Dawn - Part 2,5.5,2
173,Happy Feet 2,5.9,4
174,The Incredible Hulk,6.8,5
175,The BFG,6.8,21
176,The Revenant,8.1,9
177,Turbo,6.5,8
178,Rango,7.2,15
179,Penguins of Madagascar,6.7,8
180,The Bourne Ultimatum,8.1,9
181,Kung Fu Panda,7.6,8
182,Ant-Man,7.4,9
183,The Hunger Games: Catching Fire,7.6,9
184,Home,6.7,8
185,War of the Worlds,6.5,21
186,Bad Boys II,6.6,12
187,Puss in Boots,6.7,8
188,Salt,6.4,17
189,Noah,5.8,2
190,The Adventures of Tintin,7.4,21
191,Harry Potter and the Prisoner of Azkaban,7.8,2
192,Australia,6.6,1
193,After Earth,4.9,5
194,Dinosaur,6.5,8
195,Night at the Museum: Secret of the Tomb,6.2,8
196,Megamind,7.3,8
197,Harry Potter and the Sorcerer's Stone,7.5,9
198,R.I.P.D.,5.6,6
199,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,9
200,The Hunger Games: Mockingjay - Part 1,6.7,2
201,The Da Vinci Code,6.6,17
202,Rio 2,6.4,4
203,X-Men 2,7.5,9
204,Fast Five,7.3,2
205,Sherlock Holmes: A Game of Shadows,7.5,9
206,Clash of the Titans,5.8,5
207,Total Recall,7.5,5
208,The 13th Warrior,6.6,5
209,The Bourne Legacy,6.7,9
210,Batman & Robin,3.7,5
211,How the Grinch Stole Christmas,6.0,8
212,The Day After Tomorrow,6.4,5
213,Mission: Impossible II,6.1,5
214,The Perfect Storm,6.4,5
215,Fantastic 4: Rise of the Silver Surfer,5.6,5
216,Life of Pi,8.0,9
217,Ghost Rider,5.2,5
218,Jason Bourne,7.1,12
219,Charlie's Angels: Full Throttle,4.8,6
220,Prometheus,7.0,9
221,Stuart Little 2,5.4,8
222,Elysium,6.6,9
223,The Chronicles of Riddick,6.7,5
224,RoboCop,6.2,9
225,Speed Racer,6.1,13
226,How Do You Know,5.3,11
227,Knight and Day,6.3,11
228,Oblivion,7.0,9
229,Star Wars: Episode III - Revenge of the Sith,7.6,9
230,Star Wars: Episode II - Attack of the Clones,6.7,9
231,"Monsters, Inc.",8.1,8
232,The Wolverine,6.7,9
233,Star Wars: Episode I - The Phantom Menace,6.5,9
234,The Croods,7.3,2
235,Asterix at the Olympic Games,5.1,8
236,Windtalkers,6.0,1
237,The Huntsman: Winter's War,6.1,2
238,Teenage Mutant Ninja Turtles,5.9,9
239,Gravity,7.8,9
240,Dante's Peak,5.8,5
241,Teenage Mutant Ninja Turtles: Out of the Shadows,6.3,5
242,Fantastic Four,4.3,5
243,Night at the Museum,6.4,8
244,San Andreas,6.1,9
245,Tomorrow Never Dies,6.5,5
246,The Patriot,7.1,1
247,Ocean's Twelve,6.4,12
248,Mr. & Mrs. Smith,6.5,12
249,Insurgent,6.3,5
250,The Aviator,7.5,21
251,Gulliver's Travels,4.9,8
252,The Green Hornet,5.8,12
253,300: Rise of an Empire,6.2,1
254,The Smurfs,5.5,8
255,Home on the Range,5.4,15
256,Allegiant,5.8,5
257,Real Steel,7.1,13
258,The Smurfs 2,5.4,8
259,Speed 2: Cruise Control,3.7,12
260,Ender's Game,6.7,9
261,Live Free or Die Hard,7.2,5
262,The Lord of the Rings: The Fellowship of the Ring,8.8,9
263,Around the World in 80 Days,5.8,5
264,Ali,6.8,13
265,The Cat in the Hat,3.8,8
266,"I, Robot",7.1,17
267,Kingdom of Heaven,7.2,1
268,Stuart Little,5.9,8
269,The Princess and the Frog,7.1,4
270,The Martian,8.1,9
271,The Island,6.9,5
272,Town & Country,4.4,11
273,Gone in Sixty Seconds,6.5,12
274,Gladiator,8.5,9
275,Minority Report,7.7,21
276,Harry Potter and the Chamber of Secrets,7.4,2
277,Casino Royale,8.0,9
278,Planet of the Apes,5.7,21
279,Terminator 2: Judgment Day,8.5,9
280,Public Enemies,7.0,20
281,American Gangster,7.8,20
282,True Lies,7.2,12
283,The Taking of Pelham 1 2 3,6.4,21
284,Little Fockers,5.5,11
285,The Other Guys,6.7,12
286,Eraser,6.1,17
287,Django Unchained,8.5,9
288,The Hunchback of Notre Dame,6.9,4
289,The Emperor's New Groove,7.3,8
290,The Expendables 2,6.7,2
291,National Treasure,6.9,5
292,Eragon,5.1,5
293,Where the Wild Things Are,6.8,8
294,Epic,6.7,8
295,The Tourist,6.0,12
296,End of Days,5.7,17
297,Blood Diamond,8.0,3
298,The Wolf of Wall Street,8.2,9
299,Batman Forever,5.4,5
300,Starship Troopers,7.2,1
301,Cloud Atlas,7.5,9
302,Legend of the Guardians: The Owls of Ga'Hoole,7.0,8
303,Catwoman,3.3,12
304,Hercules,6.0,5
305,Treasure Planet,7.1,8
306,Land of the Lost,5.4,5
307,The Expendables 3,6.1,2
308,Point Break,5.3,13
309,Son of the Mask,2.2,6
310,In the Heart of the Sea,7.0,20
311,The Adventures of Pluto Nash,3.8,5
312,Green Zone,6.9,1
313,The Peanuts Movie,7.2,8
314,The Spanish Prisoner,7.3,17
315,The Mummy Returns,6.3,5
316,Gangs of New York,7.5,21
317,The Flowers of War,7.6,1
318,Surf's Up,6.8,13
319,The Stepford Wives,5.2,6
320,Black Hawk Down,7.7,1
321,The Campaign,6.2,6
322,The Fifth Element,7.7,2
323,Sex and the City 2,4.3,11
324,The Road to El Dorado,6.9,8
325,Ice Age: Continental Drift,6.6,8
326,Cinderella,7.0,9
327,The Lovely Bones,6.7,3
328,Finding Nemo,8.2,8
329,The Lord of the Rings: The Return of the King,8.9,9
330,The Lord of the Rings: The Two Towers,8.7,9
331,Seventh Son,5.5,5
332,Lara Croft: Tomb Raider,5.7,5
333,Transcendence,6.3,17
334,Jurassic Park III,5.9,5
335,Rise of the Planet of the Apes,7.6,9
336,The Spiderwick Chronicles,6.6,8
337,A Good Day to Die Hard,5.3,9
338,The Alamo,6.0,15
339,The Incredibles,8.0,8
340,Cutthroat Island,5.6,5
341,Percy Jackson & the Olympians: The Lightning Thief,5.9,8
342,Men in Black,7.3,8
343,Toy Story 2,7.9,8
344,Unstoppable,6.8,21
345,Rush Hour 2,6.6,12
346,What Lies Beneath,6.6,17
347,Cloudy with a Chance of Meatballs,7.0,8
348,Ice Age: Dawn of the Dinosaurs,7.0,8
349,The Secret Life of Walter Mitty,7.3,9
350,Charlie's Angels,5.5,12
351,The Departed,8.5,21
352,Mulan,7.5,4
353,Tropic Thunder,7.0,6
354,The Girl with the Dragon Tattoo,7.8,21
355,Die Hard with a Vengeance,7.6,5
356,Sherlock Holmes,7.6,9
357,Ben-Hur,6.1,20
358,Atlantis: The Lost Empire,6.8,8
359,Alvin and the Chipmunks: The Road Chip,5.0,8
360,Valkyrie,7.1,1
361,You Don't Mess with the Zohan,5.5,6
362,Pixels,5.6,8
363,A.I. Artificial Intelligence,7.1,21
364,The Haunted Mansion,4.9,0
365,Contact,7.4,17
366,Hollow Man,5.7,0
367,The Interpreter,6.4,17
368,Percy Jackson: Sea of Monsters,5.9,8
369,Lara Croft Tomb Raider: The Cradle of Life,5.5,5
370,Now You See Me 2,6.9,17
371,The Saint,6.2,5
372,Spy Game,7.0,21
373,Mission to Mars,5.6,5
374,Rio,7.0,4
375,Bicentennial Man,6.8,3
376,Volcano,5.4,5
377,The Devil's Own,6.1,12
378,K-19: The Widowmaker,6.7,1
379,Conan the Barbarian,6.9,5
380,Cinderella Man,8.0,13
381,The Nutcracker in 3D,4.4,4
382,Seabiscuit,7.3,13
383,Twister,6.3,5
384,Cast Away,7.7,9
385,Happy Feet,6.5,8
386,The Bourne Supremacy,7.8,17
387,Air Force One,6.4,5
388,Ocean's Eleven,7.8,12
389,The Three Musketeers,5.8,5
390,Hotel Transylvania,7.1,2
391,Enchanted,7.1,4
392,Safe House,6.8,17
393,102 Dalmatians,4.8,6
394,Tower Heist,6.2,12
395,The Holiday,6.9,11
396,Enemy of the State,7.3,21
397,It's Complicated,6.6,11
398,Ocean's Thirteen,6.9,2
399,Open Season,6.2,8
400,Divergent,6.7,9
401,Enemy at the Gates,7.6,1
402,The Rundown,6.7,5
403,Last Action Hero,6.2,5
404,Memoirs of a Geisha,7.3,11
405,The Fast and the Furious: Tokyo Drift,6.0,12
406,Arthur Christmas,7.1,8
407,Meet Joe Black,7.1,11
408,Collateral Damage,5.5,12
409,All That Jazz,7.8,4
410,Mirror Mirror,5.6,8
411,Scott Pilgrim vs. the World,7.5,9
412,The Core,5.4,5
413,Nutty Professor II: The Klumps,4.3,11
414,Scooby-Doo,4.9,6
415,Dredd,7.1,5
416,Click,6.4,11
417,Creepshow,6.9,0
418,Cats & Dogs: The Revenge of Kitty Galore,4.3,6
419,Jumper,6.1,5
420,Hellboy II: The Golden Army,7.0,5
421,Zodiac,7.7,21
422,The 6th Day,5.9,17
423,Bruce Almighty,6.7,3
424,The Expendables,6.5,21
425,Mission: Impossible,7.1,5
426,The Hunger Games,7.3,9
427,The Hangover Part II,6.5,9
428,Batman Returns,7.0,21
429,Over the Hedge,6.8,8
430,Lilo & Stitch,7.2,8
431,Charlotte's Web,6.4,6
432,Deep Impact,6.1,5
433,RED 2,6.7,12
434,The Longest Yard,6.4,13
435,Alvin and the Chipmunks: Chipwrecked,4.4,8
436,Grown Ups 2,5.4,2
437,Get Smart,6.5,2
438,Something's Gotta Give,6.7,11
439,Shutter Island,8.1,21
440,Four Christmases,5.6,11
441,Robots,6.3,8
442,Face/Off,7.3,12
443,Bedtime Stories,6.1,11
444,Road to Perdition,7.7,12
445,Just Go with It,6.4,11
446,Con Air,6.8,12
447,Eagle Eye,6.6,17
448,Cold Mountain,7.2,2
449,The Book of Eli,6.9,2
450,Flubber,5.2,6
451,The Haunting,4.9,17
452,Space Jam,6.3,8
453,The Pink Panther,5.6,6
454,The Day the Earth Stood Still,5.5,5
455,Conspiracy Theory,6.7,17
456,Fury,7.6,9
457,Six Days Seven Nights,5.7,5
458,Yogi Bear,4.6,8
459,Spirit: Stallion of the Cimarron,7.0,15
460,Zookeeper,5.2,11
461,Lost in Space,5.1,5
462,The Manchurian Candidate,6.6,17
463,Déjà Vu,7.0,11
464,Hotel Transylvania 2,6.7,8
465,Fantasia 2000,7.3,8
466,The Time Machine,5.9,5
467,Mighty Joe Young,5.6,5
468,Swordfish,6.5,12
469,The Legend of Zorro,5.9,15
470,What Dreams May Come,7.0,11
471,Little Nicky,5.3,6
472,The Brothers Grimm,5.9,5
473,Mars Attacks!,6.3,21
474,Evolution,6.4,17
475,The Edge,6.9,5
476,Surrogates,6.3,5
477,Thirteen Days,7.3,20
478,Daylight,5.8,5
479,Walking with Dinosaurs 3D,5.2,8
480,Battlefield Earth,2.4,5
481,Looney Tunes: Back in Action,5.7,8
482,Nine,5.8,4
483,Timeline,5.6,5
484,The Postman,6.0,5
485,Babe: Pig in the City,5.8,8
486,The Last Witch Hunter,6.0,5
487,Red Planet,5.7,5
488,Arthur and the Invisibles,6.0,8
489,Oceans,7.8,10
490,A Sound of Thunder,4.2,5
491,Pompeii,5.6,20
492,Top Cat Begins,4.4,8
493,A Beautiful Mind,8.2,20
494,The Lion King,8.5,4
495,Journey 2: The Mysterious Island,5.8,5
496,Cloudy with a Chance of Meatballs 2,6.5,8
497,Red Dragon,7.2,12
498,Hidalgo,6.7,15
499,Jack and Jill,3.4,6
500,2 Fast 2 Furious,5.9,12
501,The Little Prince,7.8,8
502,The Invasion,5.9,5
503,The Adventures of Rocky & Bullwinkle,4.1,8
504,The Secret Life of Pets,6.8,8
505,The League of Extraordinary Gentlemen,5.8,5
506,Despicable Me 2,7.5,8
507,Independence Day,6.9,9
508,The Lost World: Jurassic Park,6.5,21
509,Madagascar,6.9,8
510,Children of Men,7.9,9
511,X-Men,7.4,5
512,Wanted,6.7,12
513,The Rock,7.4,9
514,Ice Age: The Meltdown,6.9,8
515,50 First Dates,6.8,11
516,Hairspray,6.7,4
517,Exorcist: The Beginning,5.1,17
518,Inspector Gadget,4.1,5
519,Now You See Me,7.3,9
520,Grown Ups,6.0,6
521,The Terminal,7.3,21
522,Hotel for Dogs,5.4,6
523,Vertical Limit,5.9,5
524,Charlie Wilson's War,7.1,2
525,Shark Tale,6.0,2
526,Dreamgirls,6.5,4
527,Be Cool,5.7,6
528,Munich,7.6,21
529,Tears of the Sun,6.6,1
530,Killers,5.4,11
531,The Man from U.N.C.L.E.,7.3,9
532,Spanglish,6.5,11
533,Monster House,6.6,8
534,Bandits,6.6,11
535,First Knight,5.9,5
536,Anna and the King,6.7,20
537,Immortals,6.1,11
538,Hostage,6.6,12
539,Titan A.E.,6.6,8
540,Hollywood Homicide,5.3,12
541,Soldier,6.0,5
542,Carriers,6.0,0
543,Monkeybone,4.7,8
544,Flight of the Phoenix,6.1,5
545,Unbreakable,7.2,17
546,Minions,6.4,8
547,Sucker Punch,6.1,9
548,Snake Eyes,5.9,17
549,Sphere,6.0,17
550,The Angry Birds Movie,6.3,8
551,Fool's Gold,5.6,5
552,Funny People,6.4,3
553,The Kingdom,7.1,12
554,Talladega Nights: The Ballad of Ricky Bobby,6.6,13
555,Dr. Dolittle 2,4.6,6
556,Braveheart,8.4,1
557,Jarhead,7.1,1
558,The Simpsons Movie,7.4,8
559,The Majestic,6.9,11
560,Driven,4.5,13
561,Two Brothers,7.1,3
562,The Village,6.5,17
563,Doctor Dolittle,5.3,6
564,Signs,6.7,5
565,Shrek 2,7.2,8
566,Cars,7.2,8
567,Runaway Bride,5.5,11
568,xXx,5.8,5
569,The SpongeBob Movie: Sponge Out of Water,6.0,8
570,Ransom,6.6,12
571,Inglourious Basterds,8.3,2
572,Hook,6.7,21
573,Die Hard 2,7.1,12
574,S.W.A.T.,6.0,12
575,Vanilla Sky,6.9,17
576,Lady in the Water,5.6,17
577,AVP: Alien vs. Predator,5.6,0
578,Alvin and the Chipmunks: The Squeakquel,4.5,8
579,We Were Soldiers,7.1,1
580,Olympus Has Fallen,6.5,9
581,Star Trek: Insurrection,6.4,5
582,Battle Los Angeles,5.8,5
583,Big Fish,8.0,21
584,Wolf,6.2,0
585,War Horse,7.2,21
586,The Monuments Men,6.1,1
587,The Abyss,7.6,5
588,Wall Street: Money Never Sleeps,6.3,3
589,Dracula Untold,6.3,1
590,The Siege,6.3,12
591,Stardust,7.7,8
592,Seven Years in Tibet,7.0,1
593,The Dilemma,5.3,3
594,Bad Company,5.6,5
595,Doom,5.2,5
596,I Spy,5.4,5
597,Underworld: Awakening,6.4,0
598,Rock of Ages,5.9,4
599,Hart's War,6.3,1
600,Killer Elite,6.5,12
601,Rollerball,3.0,13
602,Ballistic: Ecks vs. Sever,3.6,12
603,Hard Rain,5.8,12
604,Osmosis Jones,6.2,8
605,Legends of Oz: Dorothy's Return,5.6,4
606,Blackhat,5.4,17
607,Sky Captain and the World of Tomorrow,6.1,5
608,Basic Instinct 2,4.2,17
609,Escape Plan,6.7,17
610,The Legend of Hercules,4.2,5
611,The Sum of All Fears,6.4,12
612,The Twilight Saga: Eclipse,4.9,2
613,The Score,6.8,12
614,Despicable Me,7.7,8
615,Money Train,5.6,12
616,Ted 2,6.4,6
617,Agora,7.2,20
618,Mystery Men,6.0,5
619,Hall Pass,5.9,11
620,The Insider,7.9,20
621,The Finest Hours,6.8,20
622,Body of Lies,7.1,12
623,Dinner for Schmucks,5.9,6
624,Abraham Lincoln: Vampire Hunter,5.9,0
625,Entrapment,6.2,12
626,The X Files,7.0,17
627,The Last Legion,5.4,1
628,Saving Private Ryan,8.6,2
629,Need for Speed,6.5,12
630,What Women Want,6.4,11
631,Ice Age,7.6,8
632,Dreamcatcher,5.5,0
633,Lincoln,7.4,1
634,The Matrix,8.7,9
635,Apollo 13,7.6,20
636,The Santa Clause 2,5.5,6
637,Les Misérables,7.6,2
638,You've Got Mail,6.5,11
639,Step Brothers,6.9,6
640,The Mask of Zorro,6.7,15
641,Due Date,6.6,3
642,Unbroken,7.2,13
643,Space Cowboys,6.4,21
644,Cliffhanger,6.4,5
645,Broken Arrow,6.0,12
646,The Kid,6.1,6
647,World Trade Center,6.0,20
648,Mona Lisa Smile,6.4,3
649,The Dictator,6.4,11
650,Eyes Wide Shut,7.3,17
651,Annie,5.2,4
652,Focus,6.6,11
653,This Means War,6.3,11
654,Blade: Trinity,5.9,5
655,Red Dawn,6.4,1
656,Primary Colors,6.7,3
657,Resident Evil: Retribution,5.4,0
658,Death Race,6.4,5
659,The Long Kiss Goodnight,6.7,17
660,Proof of Life,6.2,12
661,Zathura: A Space Adventure,6.1,5
662,Fight Club,8.8,21
663,We Are Marshall,7.1,13
664,Hudson Hawk,5.7,6
665,Lucky Numbers,5.0,6
666,"I, Frankenstein",5.1,5
667,Oliver Twist,6.9,3
668,Elektra,4.8,12
669,Sin City: A Dame to Kill For,6.5,12
670,Random Hearts,5.1,17
671,Everest,7.1,20
672,Perfume: The Story of a Murderer,7.5,3
673,Austin Powers in Goldmember,6.2,12
674,Astro Boy,6.3,8
675,Jurassic Park,8.1,21
676,Wyatt Earp,6.6,15
677,Clear and Present Danger,6.9,12
678,Dragon Blade,6.1,20
679,Littleman,4.3,6
680,U-571,6.6,1
681,The American President,6.8,11
682,The Love Guru,3.8,13
683,3000 Miles to Graceland,5.9,12
684,The Hateful Eight,7.9,15
685,Blades of Glory,6.3,13
686,Hop,5.5,8
687,300,7.7,9
688,Meet the Fockers,6.3,11
689,Marley & Me,7.1,3
690,The Green Mile,8.5,9
691,Wild Hogs,5.9,5
692,Chicken Little,5.8,8
693,Gone Girl,8.1,21
694,The Bourne Identity,7.9,17
695,GoldenEye,7.2,5
696,The General's Daughter,6.3,17
697,The Truman Show,8.1,9
698,The Prince of Egypt,7.0,4
699,Daddy Day Care,5.5,6
700,2 Guns,6.7,12
701,Cats & Dogs,5.2,6
702,The Italian Job,7.0,12
703,Two Weeks Notice,6.1,11
704,Antz,6.6,8
705,Couples Retreat,5.5,6
706,Days of Thunder,5.9,13
707,Cheaper by the Dozen 2,5.4,6
708,The Scorch Trials,6.4,5
709,Eat Pray Love,5.7,11
710,The Family Man,6.7,11
711,RED,7.1,12
712,Any Given Sunday,6.8,13
713,The Horse Whisperer,6.5,15
714,Collateral,7.6,12
715,The Scorpion King,5.5,5
716,Ladder 49,6.5,12
717,Jack Reacher,7.0,17
718,Deep Blue Sea,5.8,5
719,This Is It,7.3,10
720,Contagion,6.6,3
721,Kangaroo Jack,4.4,6
722,Coraline,7.7,8
723,The Happening,5.0,5
724,Man on Fire,7.7,21
725,The Shaggy Dog,4.4,6
726,Starsky & Hutch,6.1,6
727,Jingle All the Way,5.4,6
728,Hellboy,6.8,0
729,A Civil Action,6.5,3
730,ParaNorman,7.0,8
731,The Jackal,6.3,12
732,Paycheck,6.3,17
733,Up Close & Personal,6.1,11
734,The Tale of Despereaux,6.1,8
735,The Tuxedo,5.3,5
736,Under Siege 2: Dark Territory,5.4,12
737,Jack Ryan: Shadow Recruit,6.2,12
738,Joy,6.6,2
739,London Has Fallen,5.9,12
740,Alien: Resurrection,6.3,0
741,Shooter,7.2,17
742,The Boxtrolls,6.8,8
743,Practical Magic,6.1,11
744,The Lego Movie,7.8,8
745,Miss Congeniality 2: Armed and Fabulous,5.0,12
746,Reign of Fire,6.2,2
747,Gangster Squad,6.7,12
748,Year One,4.9,6
749,Invictus,7.4,20
750,State of Play,7.1,17
751,Duplicity,6.2,12
752,My Favorite Martian,4.9,6
753,The Sentinel,6.1,12
754,Planet 51,6.1,8
755,Star Trek: Nemesis,6.4,5
756,Intolerable Cruelty,6.3,11
757,Trouble with the Curve,6.8,13
758,Edge of Darkness,6.6,17
759,The Relic,5.7,17
760,Analyze That,5.9,21
761,Righteous Kill,6.0,17
762,Mercury Rising,6.1,12
763,The Soloist,6.7,20
764,The Legend of Bagger Vance,6.7,13
765,Almost Famous,7.9,3
766,Garfield 2,5.0,8
767,xXx: State of the Union,4.3,12
768,Priest,5.7,0
769,Sinbad: Legend of the Seven Seas,6.7,8
770,Event Horizon,6.7,0
771,Dragonfly,6.1,17
772,The Black Dahlia,5.6,17
773,Flyboys,6.6,1
774,The Last Castle,6.9,12
775,Supernova,4.8,0
776,Winter's Tale,6.2,17
777,The Mortal Instruments: City of Bones,6.0,17
778,Meet Dave,4.9,5
779,Dark Water,5.6,0
780,Edtv,6.1,3
781,Inkheart,6.1,8
782,The Spirit,4.8,12
783,Mortdecai,5.5,17
784,In the Name of the King: A Dungeon Siege Tale,3.8,5
785,Beyond Borders,6.5,1
786,Xi you ji zhi: Sun Wukong san da Baigu Jing,6.0,5
787,The Great Raid,6.7,1
788,Deadpool,8.1,9
789,Holy Man,4.9,6
790,American Sniper,7.3,21
791,Goosebumps,6.4,8
792,Just Like Heaven,6.7,11
793,The Flintstones in Viva Rock Vegas,3.6,6
794,Rambo III,5.7,1
795,Leatherheads,6.0,13
796,The Ridiculous 6,4.9,15
797,Did You Hear About the Morgans?,4.7,11
798,The Internship,6.3,6
799,Resident Evil: Afterlife,5.9,5
800,Red Tails,5.9,1
801,The Devil's Advocate,7.5,2
802,That's My Boy,5.6,6
803,DragonHeart,6.4,5
804,After the Sunset,6.3,12
805,Ghost Rider: Spirit of Vengeance,4.3,5
806,Captain Corelli's Mandolin,5.9,1
807,The Pacifier,5.5,6
808,Walking Tall,6.2,12
809,Forrest Gump,8.8,9
810,Alvin and the Chipmunks,5.2,8
811,Meet the Parents,7.0,6
812,Pocahontas,6.6,4
813,Superman,7.3,5
814,The Nutty Professor,5.6,11
815,Hitch,6.6,11
816,George of the Jungle,5.4,6
817,American Wedding,6.3,11
